Слово,Употребление,Значение,Пример_1,Пример_2,Пример_3,Перевод,Синоним_1,Синоним_2,Синоним_3,Синоним_4
АБЬЮЗ,редк. разг. псих.,"Плохое, жестокое отношение к кому-л. Насилие в отношениях, в том числе психологическое, эмоциональное, вербальное, физическое и пр.","Она решила покинуть отношения, в которых испытывала постоянный абьюз со стороны партнёра.",Многие жертвы абьюза боятся обратиться за помощью из-за чувства стыда.,"Она долгое время терпела абьюз, прежде чем решилась рассказать о своих переживаниях.","(англ. abuse оскорбление, жестокое обращение).",Насилие,Оскорбление,,
АБЬЮЗЕР,редк. соц. интерн,"Человек, практикующий психологическое, физическое, вербальное или эмоциональное насилие по отношению к другому человеку. Пользователь интернета, который выходит за рамки допустимого в какой-то теме и занимается нарушением правил сообщества, например, оскорбляет всех, спамит.","Она поняла, что её партнер — настоящий абьюзер, когда начал контролировать каждое её движение.","Сообщество должно активно бороться с абьюзерами, чтобы создать безопасную атмосферу для всех участников.","Важно сообщать о действиях абьюзеров в интернете, чтобы администрация могла принять меры против них","(англ. abuser оскорбитель, насильник; нарушитель).",Насильник,Оскорбитель,,
АВАТАР,част. комп. сленг.,"Изображение на экране компьютера, находящееся вместе с именем (фамилией) пользователя.","Я выбрал аватар с изображением любимого персонажа, чтобы он отражал мою личность на форуме.","При общении в чате аватар помогает другим пользователям быстрее запомнить, с кем они разговаривают.",В онлайн-игре мой аватар стал символом нашей команды благодаря яркому дизайну и запоминающемуся имени.,(англ. avatar воплощение).,,,,
АВАТАРКА,част. комп. сленг.,"Изображение на экране компьютера, находящееся вместе с именем (фамилией) пользователя.","Я обновил свою аватарку, чтобы она лучше отражала мое настроение и стиль.","На сайте все пользователи могут выбрать уникальную аватарку, которая будет отображаться рядом с их именем в комментариях.","Моя аватарка стала популярной среди друзей, и теперь они часто просят меня рассказать о ее значении.",,,,,
АДМИН-ИНТЕРФЕЙС,интерн.,"Интерфейс, позволяющий управлять сайтом через специальную консоль (CMS - систему управления сайтом), вход на которую недоступен для всех остальных пользователей. Синоним: административный интерфейс.","Для эффективного управления локальной сетью администраторы используют админ-интерфейс, который позволяет быстро настраивать параметры подключения и безопасности.",С помощью админ-интерфейса можно легко контролировать состояние интернет-сервера и оперативно реагировать на любые сбои в его работе.,"Админ-интерфейс предоставляет доступ к инструментам для администрирования программного обеспечения на рабочих станциях, что помогает поддерживать их стабильную работоспособность.",,,,,
АЙТИШНИК,част. инф.,"Фанат компьютерных технологий или человек, разбирающийся в компьютере.","АЙТИШНИК всегда в курсе последних трендов и технологий, что позволяет ему успешно решать сложные задачи.","На конференции выступали известные АЙТИШНИКи, делясь своими знаниями и опытом с молодыми специалистами.","В нашей компании мы активно развиваем команду АЙТИШНИКов, чтобы внедрять инновационные решения в бизнес-процессы.
 Благодаря своему сенсорному экрану, АЙФОН обеспечивает интуитивно понятное управление, что делает его удобным для пользователей всех возрастов.",,,,,
БАНИТЬ,част. комп. сленг.,Запретить пользователю отправлять сообщения в форумах или чатах.,"Администрация форума решила банить пользователей, которые нарушают правила общения и оскорбляют других участников.","Если участник продолжит игнорировать предупреждения, его могут забанить на срок до месяца.",После очередного случая спама модераторы решили банить нарушителя на постоянной основе.,(англ. ban запрет).,Блокировать,Исключать,,
БАТЛ,част. сленг.,"Соперничество, конкуренция, противостояние.",В этом году на турнире пройдет настоящий батл между лучшими командами страны.,"Их батл на сцене стал настоящим зрелищем, привлекая внимание зрителей и критиков.","В социальных сетях разгорелся батл между фанатами двух популярных исполнителей, каждый из которых отстаивал своего кумира.",(англ. battle битва).,Битва,Бой,,
БАТТЛ,част. сленг.,"Соперничество, конкуренция, противостояние.",В этом году на турнире пройдет настоящий баттл между лучшими командами страны.,"Их баттл на сцене стал настоящим зрелищем, привлекая внимание зрителей и критиков.","В социальных сетях разгорелся баттл между фанатами двух популярных исполнителей, каждый из которых отстаивал своего кумира.",(англ. battle битва).,Битва,Бой,,
БИТКОЙН,част. фин. интерн.,"Виртуальная криптовалюта, торги по которой ведутся на бирже МтГокс MtGox («Mount Gox») с июля 2010 года. Пиринговая электронная платежная система, использующая биткойны.","Биткойн стал первой и наиболее известной криптовалютой, которая привлекла внимание инвесторов благодаря своим колебаниям на бирже MtGox.","Многие пользователи начали использовать биткойн как альтернативный способ оплаты в онлайн-магазинах, благодаря его пиринговой системе.","С момента своего появления биткойн изменил представление о финансах, предложив децентрализованную платформу для проведения транзакций без посредников.
 С момента своего появления биткойн изменил представление о финансах, предложив децентрализованную платформу для проведения транзакций без посредников.",(англ. bitcoin - bit единица информации «бит» + coin монета).,,,,
